Challenge Question Data;Christina;Kerrie;Revised Coding/Christina ;Final Codes;;;;;;;
Trying to help my 2 year old understand why he can’t go see his cousins or his grandma and grandpa;"explaining COVID to children; family separation ";"Explaining COVID to kids; Family separation";"Explaining COVID to kids; Family separation";"Explaining COVID-19 to Kids; Family Separation";;;;;;;
Working Full time from home, home schooling, caring for my child while trying to work, plus doing all the normal things such as cooking and cleaning. I guess just balancing everything.;juggling multiple roles;Juggling multiple roles;Juggling multiple roles;Juggling Multiple Roles;;;;;;;
Balancing work with her remote schooling. Ensuring that she is getting the education she needs so she doesn’t fall behind. Making sure she gets enough social interaction and maintains friendship and relationships.;"balancing work and teaching; schooling; children's socialization";"Balancing work and teaching; Schooling; Children's socialization/Well-being";"balancing work and teaching; schooling; children's socialization";"Balancing work and schooling; schooling; Children's Socialization";;;;;;;
Trying to work full time and make my kids do school work.  Paying for a babysitter when normally they would be in school.;"juggling muliple roles; childcare/school closure ";"Balancing work and schooling; Schooling";"Balancing work and schooling; Schooling";"Balancing work and schooling; Schooling";;;;;;;
not being able to go anywhere and not having answers to difficult questions.  Also feeling like I am saying No to everything they want to and the guilt on activities they are missing out on;"isolation/confinement; parental guilt; explaining COVID to children ";"Isolation/Confinement; Explaining COVID to kids; Parenting guilt; Conflicting parental values and actions";"confinement; parental guilt; explaining COVID to children ";"Confinement; Parental Guilt; Explaining COVID-19 to Kids";;;;;;;
The confinement and lack of a break from each other.;"isolation/confinement; parenting exhaustion ";"Islation/Confinement; Parenting exhaustion";"confinement; parenting exhaustion ";"Confinement; Parenting Exhaustion";;;;;;;
Juggling everything.;juggling multiple roles ;Juggling multiple roles;Juggling multiple roles;Juggling Multiple Roles;;;;;;;
Everything in their life has been canceled.  Typically,  I remind them of something they can look forward to. Right now, it seems like there isn't anything.;"routine changes; uncertainty";"Routine changes: Uncertainty; Children's well-being";"Routine Changes; Uncertainty; Missed Experiences and Activities";;;;;;;;
"Working from home and doing childcare at the same time is extremely stressful. My child has too much alone time because of the pandemic. 

Also, the stupidity of others. I feel a great deal of anger and resentment towards individuals who do not care about the safety of others. 

My partner is no working remotely and therefore believes I am complete available for 100% childcare at home while working 30 hours per week in a social work profession.";"balancing work and parenting; children's socialization; COVID worries";"Balancing work and parenting; Children's socialization; Conflicting parental values and actions; COVID worries";"Balancing work and parenting; Children's Socialization; Conflicting Parental Values and Actions; COVID-19 Stress and Worries; Couple/Coparenting Tension and Conflict";;;;;;;;
Being alone with my son. Not having the answers. Seeing my son struggle with virtual learning and not being able to be with his friends.;"parenting exhaustion; explaining COVID to children; schooling; children's socialization ";"Parenting Exhaustion; Explaining COVID to kids; Schooling; Children's socialization";"Parenting Exhaustion; Explaining COVID to kids; Schooling; Children's socialization";"Parenting Exhaustion; Explaining COVID-19 to Kids; Schooling; Children's Socialization";;;;;;;
"Social isolation and never getting a break. Extreme increase in housework/cleaning. Meaningless work meetings with colleagues who don't have kids and just don't get it. Trying not to lose patience with people who create ""fake work"" and ""fake urgency."" I wish I could just quit my job. It is so irritating how people can't reorient themselves they recognize that things have changed. Just want to spend time with my family. And no, spending time on a ""zoom happy hour"" for ""fun"" is not a thing if you are in a household with 2x full time working parents and no childcare. I feel very disconnected from people who don't have kids. And my patience withmany of them is wearing thin. I also find stories of viral inspirational togetherness gag inducing, but I hatedsocial media before the pandemic, so I don't know why that would change!";"isolation/confinement; parenting exhaustion; work stress?; parent well-being ";"Isolation/Confinement; Juggling multple roles; Parenting exhaustion; ""Other people""?";"Isolation; Balancing work and parenting ; Parenting exhaustion; ";"Balancing work and parenting; Isolation; Parenting Exhaustion";;;;;;;
"Always having to be ""on,"" and balancing the load with my partner.";"parenting exhaustion; division of childcare ";"Parenting exhaustion; Marital/Coparenting conflict";"Parenting exhaustion; Marital/Coparenting conflict";"Parenting Exhaustion; Couple/Coparenting Tension and Conflict";;;;;;;
